Set	Gene	Xmac Sseqid
Broughton	ACTC1	XM_005806151.1
Broughton	ANXA2	XM_014475428.1
Broughton	CCT3	XM_005805489.1
Broughton	CCT7	XM_005799601.1
Broughton	CGA	XM_005801281.1
Broughton	COPA	XM_005796554.1
Broughton	CPSF1	XM_005809367.1
Broughton	CPSF4	XM_005808808.1
Broughton	CSTF3	XM_005813724.1
Broughton	CTSD	XM_005808104.1
Broughton	CTSZ	XM_005804262.2
Broughton	CCR4	XM_005809220.1
Broughton	DAZAP2	XM_005815697.2
Broughton	DDOST	XM_005805756.2
Broughton	DDX19A	XM_005797975.2
Broughton	DDX27	XM_005812949.1
Broughton	DDX55	XM_005815541.2
Broughton	ECT2	XM_005816235.1
Broughton	EEF1A1P1	XM_005805749.1
Broughton	EEF2	XM_005797097.1
Broughton	EIF2S3	XM_005812701.2
Broughton	G6PD	XM_005801747.2
Broughton	GAPDH	XM_005798762.2
Broughton	GCG	XM_005808066.2
Broughton	GLE1	XM_005803874.2
Broughton	HDAC1	XM_005799138.2
Broughton	HDAC3	XM_005813186.2
Broughton	HSP90AB1	XM_005803118.1
Broughton	IGSF8	XM_005796988.1
Broughton	KARS	XM_005810419.1
Broughton	LDHB	XM_014473567.1
Broughton	MCM2	XM_005808547.1
Broughton	MCM7	XM_014469884.1
Broughton	NDC80	XM_014476171.1
Broughton	NFYC	XM_005797337.2
Broughton	NOP56	XM_005815162.1
Broughton	ODC1	XM_005799115.2
Broughton	PABPC1	XM_005797394.1
Broughton	PGK1	XM_014474319.1
Broughton	PKD2	XM_005797595.2
Broughton	PLRG1	XM_005810225.2
Broughton	POLR1A	XM_014471940.1
Broughton	POLR2D	XM_005808231.2
Broughton	PPIE	XM_005799140.2
Broughton	PPIF	XM_005794591.2
Broughton	PRPF3	XM_014473017.1
Broughton	PRTFDC1	XM_005796013.2
Broughton	PSMC6	XM_005806032.2
Broughton	PSPC1	XM_005810205.2
Broughton	RAE1	XM_005800637.1
Broughton	RFC5	XM_005803838.2
Broughton	RPL13A	XM_005801275.1
Broughton	RPL24	XM_005798066.1
Broughton	RPL28	XM_005798660.1
Broughton	RPL3	XM_005810301.1
