hemoalpha-A(7819)	XM_005816937.1	XP_005816994.1
hemoalpha-D-like(22438)	XM_005815125.2	XP_005815182.1
hemoalpha-like(124250)	XM_005809047.2	XP_005809104.1
hemoalpha-like(29756)	XM_014474961.1	XP_014330447.1
hemoalpha1-like(116603)	XM_005809044.2	XP_005809101.1
hemobeta-1-like(120652)	XM_005809045.2	XP_005809102.1
hemobeta-1-like(26774)	XM_005815126.1	XP_005815183.1
hemobeta-A-like(122761)	XM_005809046.1	XP_005809103.1
hemobeta-A-like(5180)	XM_005816936.2	XP_005816993.1
hemobeta-like(114328)	XM_005809043.1	XP_005809100.1
hemoembryoalpha(139405)	XM_005809048.1	XP_005809105.1
myoglobin	XM_005797508.1	XP_005797565.1
